,t,E,Ek,Ep,T,P
0,0.0,1014.7902213322109,8.339060556902355,1006.4511607753085,0.02180146550824145,17.27465710849137
1,0.01,1086.7494821135315,882.745793215627,204.00368889790448,2.3078321391258223,11.41126731413795
2,0.02,1079.9859470973256,1425.487972466428,-345.5020253691022,3.7267659410887,6.975674223021712
3,0.03,1042.1320629377674,1580.6872242330724,-538.5551612953051,4.132515618909993,5.1215109685769615
4,0.04,997.1577374512858,1594.4544328070592,-597.2966953557734,4.168508321064207,4.35134102438766
5,0.05,954.6270787215079,1548.444853554831,-593.8177748333231,4.0482218393590355,4.1220794240385885
6,0.06,915.7650285396694,1526.6788293312343,-610.9138007915649,3.991317200865972,3.809856586824348
7,0.07,878.3008203822466,1511.907463181234,-633.6066427989875,3.9526992501470173,3.4975681345173464
8,0.08,843.2047720205984,1481.4995284277354,-638.294756407137,3.8732013815104196,3.3470014196926012
9,0.09,811.4088396657432,1449.023139782555,-637.6143001168118,3.7882957902811896,3.261400234916316
10,0.1,782.1636083024108,1430.8922770682334,-648.7286687658226,3.740894842008453,3.1114536534865294
11,0.11,754.4303038843299,1413.892275025045,-659.461971140715,3.6964503922223395,2.982880194453686
12,0.12,728.9064092071167,1389.358384862814,-660.4519756556974,3.632309502909318,2.943655445108457
13,0.13,705.8690499728189,1367.39811695655,-661.5290669837311,3.574897037794902,2.921370221574355
14,0.14,684.7778470749096,1346.1557125750514,-661.3778655001419,3.519361340065494,2.9178688964837898
15,0.15,666.0082072606335,1326.8468784831045,-660.838671222471,3.468880728060404,2.920631316349014
16,0.16,648.498185482251,1316.1083051157875,-667.6101196335366,3.4408060264465035,2.875072085051966
17,0.17,632.6757001893976,1293.6049392792129,-660.9292390898153,3.3819736974619943,2.928993416709758
18,0.18,619.5687568506879,1262.7484914510023,-643.1797346003144,3.3013032456235356,3.063840764671706
19,0.19,609.2219502999101,1242.2803422986938,-633.0583919987837,3.2477917445717486,3.139087734612456
20,0.2,600.4790744011092,1229.336829736753,-628.8577553356439,3.213952496043799,3.1595744483240313
21,0.21,592.5500476028212,1227.5185529610296,-634.9685053582084,3.209198831270666,3.09208700916293
22,0.22,584.2616361523039,1233.8689782861775,-649.6073421338735,3.225801250421379,2.9535817230975594
23,0.23,575.5057689965828,1236.7544610515904,-661.2486920550076,3.233344996213308,2.8342891012328097
24,0.24,566.6169945789574,1234.4165136291451,-667.7995190501878,3.227232715370314,2.7559898016892292
